metric,mean,std,min,max
acc,0.9705,0.0062,0.9659,0.9773
auprc,0.7328,0.118,0.5506,0.8542
auroc,0.9565,0.0302,0.9256,0.9911
cls_loss,0.1368,0.0585,0.0602,0.2242
f1,0.6262,0.0806,0.5714,0.75
kl_loss,0.1513,0.0236,0.1109,0.1718
mcc,0.6236,0.0877,0.5603,0.7381
paired_acc,0.969,0.0065,0.9643,0.9762
paired_auprc,0.7397,0.127,0.5506,0.8875
paired_auroc,0.9556,0.0318,0.9219,0.9937
paired_f1,0.6262,0.0806,0.5714,0.75
paired_mcc,0.6228,0.0879,0.5594,0.7375
total_loss,0.152,0.0565,0.0765,0.2353
unpaired_acc,1.0,0.0,1.0,1.0
unpaired_auprc,,,,
unpaired_auroc,,,,
unpaired_f1,0.0,0.0,0.0,0.0
unpaired_mcc,0.0,0.0,0.0,0.0
